I, [2018-07-06T10:06:58.298622 #7599]  INFO -- : Refreshing Gem list
warning: parser/current is loading parser/ruby23, which recognizes
warning: 2.3.6-compliant syntax, but you are running 2.3.2.
warning: please see https://github.com/whitequark/parser#compatibility-with-ruby-mri.
The PGconn, PGresult, and PGError constants are deprecated, and will be
removed as of version 1.0.

You should use PG::Connection, PG::Result, and PG::Error instead, respectively.

Called from /home/deploy/.rvm/gems/ruby-2.3.2/gems/activesupport-4.2.10/lib/active_support/dependencies.rb:240:in `load_dependency'
I, [2018-07-06T10:07:04.728040 #7599]  INFO -- : listening on addr=/home/deploy/consul//shared/sockets/unicorn.sock fd=18
I, [2018-07-06T10:07:04.728157 #7599]  INFO -- : worker=0 spawning...
I, [2018-07-06T10:07:04.729626 #7599]  INFO -- : worker=1 spawning...
I, [2018-07-06T10:07:04.730925 #7599]  INFO -- : master process ready
I, [2018-07-06T10:07:04.736022 #7604]  INFO -- : worker=0 spawned pid=7604
I, [2018-07-06T10:07:04.738414 #7604]  INFO -- : worker=0 ready
I, [2018-07-06T10:07:04.739845 #7606]  INFO -- : worker=1 spawned pid=7606
I, [2018-07-06T10:07:04.740471 #7606]  INFO -- : worker=1 ready
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.core.self-5ed6ae130919ff28bddc99eeb4be8985572bbe9b5f0b1ba1bc6afc599780cebb.js?body=1 HTTP/1.0" 200 13843 0.0533
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.abide.self-433e642defac6b495106bcaa7f2a33c07efc1dad4c3970721631af8a2b52affc.js?body=1 HTTP/1.0" 200 21285 0.0442
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.accordion.self-74319d8fb502eb290aeb24e5faa73fcaaf37eae2d7900078f340f0b24935730a.js?body=1 HTTP/1.0" 200 7832 0.0475
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.accordionMenu.self-e689c1884b4ff0c1954861fd62d4731ee547815641354364558281ba1c1f6e60.js?body=1 HTTP/1.0" 200 10071 0.0477
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.drilldown.self-90f2ea486ef245e95194cd7b3aa3c03f646920688d3f3da4ac9307a1ba218fd6.js?body=1 HTTP/1.0" 200 14266 0.0455
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.dropdown.self-9c145c2f5fc3a177fc41227f741c20dbb83e12e6ab9b3dc4d43ca29e5405b701.js?body=1 HTTP/1.0" 200 15530 0.0500
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.dropdownMenu.self-ad8b1b4094eeef0662f6bc2626fce4dbdbcd378208a40d581a69173f69cf9416.js?body=1 HTTP/1.0" 200 15967 0.0478
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /application.self-ffeec96c1d8e65ca354e83a812e5207557a4a3dc5650d6287a908e80b89415d1.css?body=1 HTTP/1.0" 200 611136 1.4101
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.equalizer.self-a50f50dcba868d8fa943fbff15ebbf4cc4379642743eb66e01700817f1d9a22d.js?body=1 HTTP/1.0" 200 11382 0.0483
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.magellan.self-7f76db4c0535c95ec2987c59e161dbb0d95797e6472be23b256ed839f9ffbb3e.js?body=1 HTTP/1.0" 200 8151 0.0508
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.offcanvas.self-cf7da0443dc19b13c7142a0dbe858c9345298ba3c74c18fd45c32b8e6a36891d.js?body=1 HTTP/1.0" 200 14386 0.0513
